@relation C__Users_Tifani_Documents_GitHub_ekstraksi-diskon_EkstraksiDiskon_data_processed_diskon

@attribute text string
@attribute @@class@@ {tidak,ya}

@data
'rezacurvanord,reza F tanjung,rt vaingloryid kendali harga rt beritahu teman tingkat diskon black friday vainglory https ',tidak
'Abdulmt,Mas Abdul,im ooredoo indosatcare informasi diskon langgan spotifyid premium guna freedomcombo ',tidak
'Abdulmt,Mas Abdul,im ooredoo indosatcare informasi diskon langgan spotifyid premium guna freedomcombo ',tidak
'Abdulmt,Mas Abdul,im ooredoo indosatcare informasi diskon langgan spotifyid premium guna freedomcombo ',tidak
'salshazuhriyah,Salsha Zuhriyah,rt dearconnie cowok erti diskon obral mall gairah bingung manusia ',tidak
'salshazuhriyah,Salsha Zuhriyah,rt dearconnie cowok erti diskon obral mall gairah bingung manusia ',tidak
'salshazuhriyah,Salsha Zuhriyah,rt dearconnie cowok erti diskon obral mall gairah bingung manusia ',tidak
'satriyous,asatriyotunggulaa,enciksyek iya bangun pagi bangun rumah harga semen batako diskon ',tidak
'satriyous,asatriyotunggulaa,enciksyek iya bangun pagi bangun rumah harga semen batako diskon ',tidak
'satriyous,asatriyotunggulaa,enciksyek iya bangun pagi bangun rumah harga semen batako diskon ',tidak
'tajaliarif,Tajali NoHoax,fariz lewinhery wahhabicc gustikenarok angelmaximilan moga diskon lumayan mas lewi order korlap ',tidak
'tajaliarif,Tajali NoHoax,fariz lewinhery wahhabicc gustikenarok angelmaximilan moga diskon lumayan mas lewi order korlap ',tidak
'tajaliarif,Tajali NoHoax,fariz lewinhery wahhabicc gustikenarok angelmaximilan moga diskon lumayan mas lewi order korlap ',tidak
'joSULIRVAN,Follow ZoneINS,ber iklan dapat paket diskon tarik ',tidak
'joSULIRVAN,Follow ZoneINS,ber iklan dapat paket diskon tarik ',tidak
'joSULIRVAN,Follow ZoneINS,ber iklan dapat paket diskon tarik ',tidak
'githapewe,PEWE,timhuruhara wkopicorner mbung sok meuli diskon wkwkw ',tidak
'githapewe,PEWE,timhuruhara wkopicorner mbung sok meuli diskon wkwkw ',tidak
'githapewe,PEWE,timhuruhara wkopicorner mbung sok meuli diskon wkwkw ',tidak
'KiOSTiX,KiOSTiX,kiostixnews spesial diskon kiostinya makeitexcitinya _url_ _url_ ',tidak
'KiOSTiX,KiOSTiX,kiostixnews spesial diskon kiostinya makeitexcitinya _url_ _url_ ',tidak
'KiOSTiX,KiOSTiX,kiostixnews spesial diskon kiostinya makeitexcitinya _url_ _url_ ',tidak
'lovesyul,Heaven,haiyaa diskon diskon _url_ ',tidak
'lovesyul,Heaven,haiyaa diskon diskon _url_ ',tidak
'lovesyul,Heaven,haiyaa diskon diskon _url_ ',tidak
'TriWahyuHS,Tri Wahyu Hadi S,diskon buruk kondisi dompet ',tidak
'TriWahyuHS,Tri Wahyu Hadi S,diskon buruk kondisi dompet ',tidak
'TriWahyuHS,Tri Wahyu Hadi S,diskon buruk kondisi dompet ',tidak
'putciput,Stefany Putri,puas batin barang butuh eh diskon butuh iya ',tidak
'putciput,Stefany Putri,puas batin barang butuh eh diskon butuh iya ',tidak
'putciput,Stefany Putri,puas batin barang butuh eh diskon butuh iya ',tidak
'vntamaya,Vania N Tamaya,rt bellanahs coba cewek sebentar belanja diskon ',tidak
'vntamaya,Vania N Tamaya,rt bellanahs coba cewek sebentar belanja diskon ',tidak
'vntamaya,Vania N Tamaya,rt bellanahs coba cewek sebentar belanja diskon ',tidak
'kimjsuo,JISUUUU,dunga cinta diskon _url_ ',tidak
'kimjsuo,JISUUUU,dunga cinta diskon _url_ ',tidak
'kimjsuo,JISUUUU,dunga cinta diskon _url_ ',tidak
'txcmin,Taemin ai,cafeent nyarinya diskon ',tidak
'txcmin,Taemin ai,cafeent nyarinya diskon ',tidak
'txcmin,Taemin ai,cafeent nyarinya diskon ',tidak
'tinxkeu,GD,gehaneulina smartfrencare lanhudiee mbak tara jk kuota malam silakn s di wib dn diharuskn melakukn diskon ',tidak
'tinxkeu,GD,gehaneulina smartfrencare lanhudiee mbak tara jk kuota malam silakn s di wib dn diharuskn melakukn diskon ',tidak
'tinxkeu,GD,gehaneulina smartfrencare lanhudiee mbak tara jk kuota malam silakn s di wib dn diharuskn melakukn diskon ',tidak
'unbeautiy,jeongjoo a kaneva,awkiddie yeodja zinbgf tffyhwang chaeyynya yocjis ijihunkr kasi diskon ',tidak
'unbeautiy,jeongjoo a kaneva,awkiddie yeodja zinbgf tffyhwang chaeyynya yocjis ijihunkr kasi diskon ',tidak
'unbeautiy,jeongjoo a kaneva,awkiddie yeodja zinbgf tffyhwang chaeyynya yocjis ijihunkr kasi diskon ',tidak
'duniaeni,Eni Martini,wiw diskon _url_ ',tidak
'duniaeni,Eni Martini,wiw diskon _url_ ',tidak
'duniaeni,Eni Martini,wiw diskon _url_ ',tidak
'riasnurulsuci,rias nurul suci,notif diskon olshop mikir tanggal tua ttep beli iya jangan sia nyiakan diskon wanita ',tidak
'riasnurulsuci,rias nurul suci,notif diskon olshop mikir tanggal tua ttep beli iya jangan sia nyiakan diskon wanita ',tidak
'riasnurulsuci,rias nurul suci,notif diskon olshop mikir tanggal tua ttep beli iya jangan sia nyiakan diskon wanita ',tidak
'tkydahyun,KikuY,cont ramai diskon bahan pangan besaran minggu wuah  kilat cont ',tidak
'tkydahyun,KikuY,cont ramai diskon bahan pangan besaran minggu wuah  kilat cont ',tidak
'tkydahyun,KikuY,cont ramai diskon bahan pangan besaran minggu wuah  kilat cont ',tidak
'plukz,Yanuar Mustahar,nitasellya solusi _url_ ',tidak
'plukz,Yanuar Mustahar,nitasellya solusi _url_ ',tidak
'plukz,Yanuar Mustahar,nitasellya solusi _url_ ',tidak
'agungrsaputroo,Agung RSaputro,belanja pintar pantau diskon webnya mashe _url_ ',tidak
'agungrsaputroo,Agung RSaputro,belanja pintar pantau diskon webnya mashe _url_ ',tidak
'agungrsaputroo,Agung RSaputro,belanja pintar pantau diskon webnya mashe _url_ ',tidak
'supeostars,A,diskon gratis at sunrise mall _url_ ',tidak
'supeostars,A,diskon gratis at sunrise mall _url_ ',tidak
'supeostars,A,diskon gratis at sunrise mall _url_ ',tidak
'AlqolamID,Al Qolam Official,daftar reseller _url_ dapat diskon produk beli pertama ',tidak
'AlqolamID,Al Qolam Official,daftar reseller _url_ dapat diskon produk beli pertama ',tidak
'AlqolamID,Al Qolam Official,daftar reseller _url_ dapat diskon produk beli pertama ',tidak
'txcmin,Taemin ai,cafeent mahal diskon ',tidak
'txcmin,Taemin ai,cafeent mahal diskon ',tidak
'txcmin,Taemin ai,cafeent mahal diskon ',tidak
'prakosobimo,PrakosoBimo,rt hotradero fauherklots airbus coba ngasong aebo harga diskon feasible load reguler feasible angkut ',tidak
'prakosobimo,PrakosoBimo,rt hotradero fauherklots airbus coba ngasong aebo harga diskon feasible load reguler feasible angkut ',tidak
'prakosobimo,PrakosoBimo,rt hotradero fauherklots airbus coba ngasong aebo harga diskon feasible load reguler feasible angkut ',tidak
'rlalicey,qisay,diskon iya a _url_ ',tidak
'rlalicey,qisay,diskon iya a _url_ ',tidak
'rlalicey,qisay,diskon iya a _url_ ',tidak
'chanaini,chanaini,he teman sejati diskon beli barang kadang suka _url_ ',tidak
'chanaini,chanaini,he teman sejati diskon beli barang kadang suka _url_ ',tidak
'chanaini,chanaini,he teman sejati diskon beli barang kadang suka _url_ ',tidak
'eunseowl,Leony,profsteward diskon iya ',tidak
'eunseowl,Leony,profsteward diskon iya ',tidak
'eunseowl,Leony,profsteward diskon iya ',tidak
'knkpark,i iSi,hsinbey pakai kartu timezone diskon ',tidak
'knkpark,i iSi,hsinbey pakai kartu timezone diskon ',tidak
'knkpark,i iSi,hsinbey pakai kartu timezone diskon ',tidak
'noumnae,YAdachia,redlipxtick  he jarang jarang diskon telur sana ayo habis gandeng tangan ',tidak
'noumnae,YAdachia,redlipxtick  he jarang jarang diskon telur sana ayo habis gandeng tangan ',tidak
'noumnae,YAdachia,redlipxtick  he jarang jarang diskon telur sana ayo habis gandeng tangan ',tidak
'AGSINB,SIIIIIIIIIINB,beli resep sinbimart diskon besaran unni _url_ ',tidak
'AGSINB,SIIIIIIIIIINB,beli resep sinbimart diskon besaran unni _url_ ',tidak
'AGSINB,SIIIIIIIIIINB,beli resep sinbimart diskon besaran unni _url_ ',tidak
'jngkook,Kookie,kukioppa kupon diskon burger king sayang mayan ',tidak
'jngkook,Kookie,kukioppa kupon diskon burger king sayang mayan ',tidak
'jngkook,Kookie,kukioppa kupon diskon burger king sayang mayan ',tidak
'sintaakusuma,a,sedih habis tiket coldplay apa dibandingin sedih ibu ibu habis promo pampers diskon ribu ',tidak
'sintaakusuma,a,sedih habis tiket coldplay apa dibandingin sedih ibu ibu habis promo pampers diskon ribu ',tidak
'sintaakusuma,a,sedih habis tiket coldplay apa dibandingin sedih ibu ibu habis promo pampers diskon ribu ',tidak
'UdaToil,Uda Lauko,jumat november kejucoklatt mayan diskon tawa ',tidak
'UdaToil,Uda Lauko,jumat november kejucoklatt mayan diskon tawa ',tidak
'UdaToil,Uda Lauko,jumat november kejucoklatt mayan diskon tawa ',tidak
'bangrizky,M Rizky Akbar,rt undoubtedlife romiyo nyoba varian mbk lagi diskon rasah tinggal rabi ngak mas ',tidak
'bangrizky,M Rizky Akbar,rt undoubtedlife romiyo nyoba varian mbk lagi diskon rasah tinggal rabi ngak mas ',tidak
'bangrizky,M Rizky Akbar,rt undoubtedlife romiyo nyoba varian mbk lagi diskon rasah tinggal rabi ngak mas ',tidak
'AMaulidatinnisa,Aulia Maulidatinnisa,dwskm bodoh kuwii nek kakean diskon ora untung iya bangkrut nek konco dikenalno pacar saut ',tidak
'AMaulidatinnisa,Aulia Maulidatinnisa,dwskm bodoh kuwii nek kakean diskon ora untung iya bangkrut nek konco dikenalno pacar saut ',tidak
'AMaulidatinnisa,Aulia Maulidatinnisa,dwskm bodoh kuwii nek kakean diskon ora untung iya bangkrut nek konco dikenalno pacar saut ',tidak
'feroyzr,Fulyadi Fero,tokopediacare diskon pulsa pakai mandiri ecash habis vocernya iya min _url_ ',tidak
'feroyzr,Fulyadi Fero,tokopediacare diskon pulsa pakai mandiri ecash habis vocernya iya min _url_ ',tidak
'feroyzr,Fulyadi Fero,tokopediacare diskon pulsa pakai mandiri ecash habis vocernya iya min _url_ ',tidak
'noumnae,YAdachia,shoutout sub  diskon telur ayo beli habis ',tidak
'noumnae,YAdachia,shoutout sub  diskon telur ayo beli habis ',tidak
'noumnae,YAdachia,shoutout sub  diskon telur ayo beli habis ',tidak
'ikemenossan,aaa  sick,aeilurophile iya sih kill able nyarinya mati yha segini diskon _url_ ',tidak
'ikemenossan,aaa  sick,aeilurophile iya sih kill able nyarinya mati yha segini diskon _url_ ',tidak
'ikemenossan,aaa  sick,aeilurophile iya sih kill able nyarinya mati yha segini diskon _url_ ',tidak
'bbhah,baekhee,lelang pacar paket lengkap diskon _url_ ',tidak
'bbhah,baekhee,lelang pacar paket lengkap diskon _url_ ',tidak
'bbhah,baekhee,lelang pacar paket lengkap diskon _url_ ',tidak
'knkpark,i iSi,hsinbey diskon ',tidak
'knkpark,i iSi,hsinbey diskon ',tidak
'knkpark,i iSi,hsinbey diskon ',tidak
'rhanieoez,raniyunia a,nguber diskon ramayana _url_ ',tidak
'rhanieoez,raniyunia a,nguber diskon ramayana _url_ ',tidak
'rhanieoez,raniyunia a,nguber diskon ramayana _url_ ',tidak
'perrisaa,Verysha Agustya,buru diskon tawa at matahari _url_ ',tidak
'perrisaa,Verysha Agustya,buru diskon tawa at matahari _url_ ',tidak
'perrisaa,Verysha Agustya,buru diskon tawa at matahari _url_ ',tidak
'TikaTebuLL,Tika Tebul,nagihh tomyamm kakak liza ini agak diskon iya toke with lizza and ok at cafe nando pic _url_ ',tidak
'TikaTebuLL,Tika Tebul,nagihh tomyamm kakak liza ini agak diskon iya toke with lizza and ok at cafe nando pic _url_ ',tidak
'TikaTebuLL,Tika Tebul,nagihh tomyamm kakak liza ini agak diskon iya toke with lizza and ok at cafe nando pic _url_ ',tidak
'exowhite,kai,diskon _url_ ',tidak
'exowhite,kai,diskon _url_ ',tidak
'exowhite,kai,diskon _url_ ',tidak
'chayuningtyas,Cahayuningtyas,doarth wkw iya bicara bicara besok interview doa yak wkwkw cucu diskon iorebu v ',tidak
'chayuningtyas,Cahayuningtyas,doarth wkw iya bicara bicara besok interview doa yak wkwkw cucu diskon iorebu v ',tidak
'chayuningtyas,Cahayuningtyas,doarth wkw iya bicara bicara besok interview doa yak wkwkw cucu diskon iorebu v ',tidak
'bnssyifa,Abel,diskon nga luw kanjeng kyra istikomah x ips teman shopping bnsvanesha _url_ ',tidak
'bnssyifa,Abel,diskon nga luw kanjeng kyra istikomah x ips teman shopping bnsvanesha _url_ ',tidak
'bnssyifa,Abel,diskon nga luw kanjeng kyra istikomah x ips teman shopping bnsvanesha _url_ ',tidak
'mayonizeeee,whysoserious,keiiscrazy iya sih dara banget plingan tega diskon kyak modis modal diskon blnja ',tidak
'mayonizeeee,whysoserious,keiiscrazy iya sih dara banget plingan tega diskon kyak modis modal diskon blnja ',tidak
'mayonizeeee,whysoserious,keiiscrazy iya sih dara banget plingan tega diskon kyak modis modal diskon blnja ',tidak
'otomotifweekly,Tabloid OTOMOTIF,dainese taichi gelar diskon sikat saudara laki laki _url_ _url_ ',tidak
'otomotifweekly,Tabloid OTOMOTIF,dainese taichi gelar diskon sikat saudara laki laki _url_ _url_ ',tidak
'otomotifweekly,Tabloid OTOMOTIF,dainese taichi gelar diskon sikat saudara laki laki _url_ _url_ ',tidak
'esya,Muhajjir Esyaputra,mrias ah i see nya iya intimidating beli hg diskon racun euy kidz ',tidak
'esya,Muhajjir Esyaputra,mrias ah i see nya iya intimidating beli hg diskon racun euy kidz ',tidak
'esya,Muhajjir Esyaputra,mrias ah i see nya iya intimidating beli hg diskon racun euy kidz ',tidak
'CHAENEN,Anime Babo,kimjyana coba harga segitu hahha nitip jiji cepat banget habis gegara diskon gede xdd ',tidak
'CHAENEN,Anime Babo,kimjyana coba harga segitu hahha nitip jiji cepat banget habis gegara diskon gede xdd ',tidak
'CHAENEN,Anime Babo,kimjyana coba harga segitu hahha nitip jiji cepat banget habis gegara diskon gede xdd ',tidak
'SirMTanner,Mikhail,rt vladimirancent sirmtanner diskon sir _url_ ',tidak
'SirMTanner,Mikhail,rt vladimirancent sirmtanner diskon sir _url_ ',tidak
'SirMTanner,Mikhail,rt vladimirancent sirmtanner diskon sir _url_ ',tidak
'SiiNabil,Nabil Hafidz ,manusia barang diskon gausah milih milih ',tidak
'SiiNabil,Nabil Hafidz ,manusia barang diskon gausah milih milih ',tidak
'SiiNabil,Nabil Hafidz ,manusia barang diskon gausah milih milih ',tidak
'nadiagrosir,Nadiagrosir,rt nadiagrosir promobantul nadiagrosir outletor jual baju anak branded lokal area bantul jogja rapat diskon tarik b ',tidak
'nadiagrosir,Nadiagrosir,rt nadiagrosir promobantul nadiagrosir outletor jual baju anak branded lokal area bantul jogja rapat diskon tarik b ',tidak
'nadiagrosir,Nadiagrosir,rt nadiagrosir promobantul nadiagrosir outletor jual baju anak branded lokal area bantul jogja rapat diskon tarik b ',tidak
'nautronZR,N aA EoEa P A L,pakai debit mbak dipake tinggal price tag diskon kisahkasir ',tidak
'nautronZR,N aA EoEa P A L,pakai debit mbak dipake tinggal price tag diskon kisahkasir ',tidak
'nautronZR,N aA EoEa P A L,pakai debit mbak dipake tinggal price tag diskon kisahkasir ',tidak
'ameliamiranti,Amelia Miranti,kartupos hai ken diskon anggota airbnb laku terima kasih yai ',tidak
'ameliamiranti,Amelia Miranti,kartupos hai ken diskon anggota airbnb laku terima kasih yai ',tidak
'ameliamiranti,Amelia Miranti,kartupos hai ken diskon anggota airbnb laku terima kasih yai ',tidak
'CRNKarwoski,Wazoski Karen,crnwilder diskon beli ',tidak
'CRNKarwoski,Wazoski Karen,crnwilder diskon beli ',tidak
'CRNKarwoski,Wazoski Karen,crnwilder diskon beli ',tidak
'HGLami,ee,osumji persen mah diskon ayo pelit pelit undebut ',tidak
'HGLami,ee,osumji persen mah diskon ayo pelit pelit undebut ',tidak
'HGLami,ee,osumji persen mah diskon ayo pelit pelit undebut ',tidak
'indosatdompetku,Indosat Dompetku,fitur bayar pakai qr code daftar merchant _url_ dompet banyakbenerbisanya ',tidak
'indosatdompetku,Indosat Dompetku,fitur bayar pakai qr code daftar merchant _url_ dompet banyakbenerbisanya ',tidak
'indosatdompetku,Indosat Dompetku,fitur bayar pakai qr code daftar merchant _url_ dompet banyakbenerbisanya ',tidak
'WiradikaSaputri,Wiradika Saputri,mah goyah diskon taon ',tidak
'WiradikaSaputri,Wiradika Saputri,mah goyah diskon taon ',tidak
'WiradikaSaputri,Wiradika Saputri,mah goyah diskon taon ',tidak
'PebriInc,Pebri B,rt nurinadm diskon harap murah yakin ',tidak
'PebriInc,Pebri B,rt nurinadm diskon harap murah yakin ',tidak
'PebriInc,Pebri B,rt nurinadm diskon harap murah yakin ',tidak
'SantiNamaku,NokSanti,syurga kak diskon segitu desember _url_ ',tidak
'SantiNamaku,NokSanti,syurga kak diskon segitu desember _url_ ',tidak
'SantiNamaku,NokSanti,syurga kak diskon segitu desember _url_ ',tidak
'shallhar,Ibu Smith YYYY,santinamaku diskon kak ',tidak
'shallhar,Ibu Smith YYYY,santinamaku diskon kak ',tidak
'shallhar,Ibu Smith YYYY,santinamaku diskon kak ',tidak
'fatiyahh,ody,diskon tawa _url_ ',tidak
'fatiyahh,ody,diskon tawa _url_ ',tidak
'fatiyahh,ody,diskon tawa _url_ ',tidak
'Deria,Deria,rt siwel kisahkasir kakak line mbak id siwel add alfamart diskon yah kirain ajak video cal ',tidak
'Deria,Deria,rt siwel kisahkasir kakak line mbak id siwel add alfamart diskon yah kirain ajak video cal ',tidak
'Deria,Deria,rt siwel kisahkasir kakak line mbak id siwel add alfamart diskon yah kirain ajak video cal ',tidak
