username	name	status	ya/tidak	kategori
orami_id	Orami Indonesia	"Anda pemegang kartu kredit ANZ? Nikmati belanja dengan diskon hingga 90%+ 20%* di ORAMI! *Info lengkap, kunjungiâ€¦ https://t.co/dPZysZaqJY"	ya	lain-lain
tiket	Tiket.com	Liburan sama satu geng bisa lebih hemat! Diskon menginap Rp. 100.000/Malam/Kamar bikin liburan seru diâ€¦ https://t.co/rG85yeK0Z5	ya	wisata
BeesstYD1921	Yudi febrian	@GontaGantiHaPe ada diskon apa a diblibli supaya bisa kurang lagi a?	tidak	
kupontripcom	Kupon Trip	Promo Kartu Kredit Mandiri Panorama Tours Diskon Rp 200K Hotel dan TiketÂ Pesawat https://t.co/PuxK3tJTly https://t.co/HQkix9QhdL	ya	wisata
Cin_518	Cin518	"RT @BNI: Gemar berbelanja? Jangan lewatkan diskon 20% di Shafira dari BNI. Selengkapnya, cek https://t.co/XiKDprLh1g."	ya	lain-lain
katalogpromosi	katalogpromosi	NIKE Diskon hingga 15% dengan KARTU KREDIT BNI https://t.co/Cq0h98BXKk	ya	fashion
katalogpromosi	katalogpromosi	https://t.co/qxNJxEXEnB CITI TUESDAY DEALS! Dapatkan Tambahan Diskon 15% dengan Kartu Kredit Citi https://t.co/o4KFeZnQIU	ya	lain-lain
sushi_ya	sushi-ya	"Sushi Gangs, tinggal 9 hari lagi loh promo Student ID Discount! Jangan lupa ya siapkan student ID kamu dan dapetin diskon 15% :D"	ya	lain-lain
diskonevoucher	DISKON - EVoucher	[ME TIME] Manjakan diri dengan nyalon HEMAT di Eva Bun Beauty & Salon https://t.co/t2lKleRWrb https://t.co/BsyPISOQ0n	ya	kecantikan
katalogpromosi	katalogpromosi	HOP HOP Bubble Drink Diskon hingga 20% dengan Kartu Kredit dan FLAZZ BCA https://t.co/KKl1G0dfLl	ya	kuliner
katalogpromosi	katalogpromosi	https://t.co/ZhG3n6C4eg Promo Groovy Monday! Diskon Up To Rp 300.000 Setiap Hari Senin https://t.co/vpRKAo5r1Y	ya	laIn-lain
BETAHOLIDAY	Tiket & Hotel	Lebih MURAH 363.000 dari Traveloka #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv #batikair https://t.co/R3p5DuoJrd	ya	wisata
karinadnlstr	Karin	@IndonesiaGaruda pada saat pemilihan jadwal harga yg tertera sudah termasuk diskon atau belum?	tidak	
misslizz183	lisa kusumawati	Dipilih...dipilih...lagi diskon Mak...! https://t.co/RwgdMKoP78	tidak	
karinadnlstr	Karin	"@IndonesiaGaruda halo garuda, mau tanya promo ini https://t.co/kj1TQBTSoM potongan diskon dan cashbacknya diberikan kapan ya?"	tidak	
baju_kapel	Toko Baju Kapel	Barcelona Couple 145rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/VTFaA9HKZ5	ya	fashion
riizqek	Rizqi P. Saputra	"Itu yang jual mahal, apa gak kepikiran buat ngadain diskon gitu ? *antri ngarep dewe*"	tidak	
aksesorisbalap	aksesorisbalap.com	"TOPI ALPINESTAR, FOX, KTM DLL. DISKON 10% KHUSUS HARI INI. BATAS WAKTU JAM 12 MALAM. https://t.co/Qe6lo73lp9"	ya	fashion
PriceArea	PriceArea.com	RT @PriceArea: DISKON 44% Jimmy Choo Eau de Parfum bikin hari mu makin sempurna Cek parfum lainnya di @MLBB_ID https://t.co/S6hM9d5YpW httpâ€¦	ya	kecantikan
masiponk	masiponk	Wah tv kabel kompetitor sdh masuk ke perumahan sy murah lagi... Siap2 pindah operator nih klo yg lama gak ngasih diskon	tidak	
mustang88fm	Mustang 88.0 Jakarta	"Sekarang, belanja koleksi Ramayana bisa dapet diskon 20% loh!!, hanya di @tokopedia, yuk cek ceritanya di https://t.co/h7guqD2hxi"	ya	lain-lain
syahwillianna24	NO NAME	"Tah bud madeup sateh ,beli buru mumpug diskon @budif1rmansyah_ @Bud1firmansyah https://t.co/E4z0FRXKNO"	tidak	
kupontripcom	Kupon Trip	Kode Promo Red Doorz Hotel PegiPegi DiskonÂ 15% https://t.co/xN6Cp3njPO https://t.co/AjxWDfv4Lr	ya	wisata
Razaqicoll	Galeri Razaqi	Tas Mango ori Harga diskon abis lebih murah dari counter Yuk buruan yg mau order inbox ya Ukuran ada di gambar	ya	fashion
efviel	efviel	Uang bukan segalanya. Masih ada Mastercard dan Visa. Belanja online #murah #diskon aman dan terpercaya check i ##diskon #ollshop #shoping	tidak	
Salima_Store	Salima Store	"MC Overed Diskon! Kode : BDE 025 Bahan : Chery+Della Ukuran : S,M,L,XL Warna : Coklat dan Orange Harga Normal :... https://t.co/nq59msOEx1"	ya	fashion
Giladiskon	Giladiskon Indonesia	"Super Promo @CoffeeBeanIndo Diskon 50%,Info--> https://t.co/KrIin7S91D"	ya	kuliner
BajuCoupleKita	Fashion Couple Baru	Dress Cakram Couple 105rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/rykpyYFmWz	ya	fashion
couplecoupleku	Pusat Jaket Couple	Never let lp Couple 105rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/ePuxRkRiuT	ya	fashion
resepkuelezat	Resep Kue Lezat	ðŸ’¢ WOW DISKON BESAR DAN HEBOH ðŸ’¢ â— â— ðŸŽ‰ Hanya 95rb Bunda Bisa Dapetin 1 Set FOOD CONTAINER ISI 14pcs ðŸŽ‰ Pusing liat... https://t.co/PIuqptwXOQ	ya	rumah tangga
sendyekr	Sendy	RT @sendyekr: Lagi cari makeup import ori & tas yg murah banget? Yuk cek ig kita https://t.co/6NS1L4lBU9 ðŸ˜Š kita lagi ada diskon looh! Ayo dâ€¦	ya	fashion
sintaakusuma	â	Sedihnya kehabisan tiket coldplay ga ada apa2nya dibandingin sama sedihnya ibu2 yg kehabisan promo Pampers yg lg diskon dr 120 jadi 80rbðŸ’”	tidak	
misteraladinID	Mister Aladin	Get more travel privileges hanya dgn kartu kredit Citibank kamu! Dapetin diskon buat SEMUA hotel up to Rp200rb. CEKâ€¦ https://t.co/kYQ4Flm9RY	ya	wisata
zupparella	Zupparella	"Hae zupper. Kita masih ada promo #CereMonday nih, Diskon 20% buat kalian all variant zuppa soup sama pastanya lho."	ya	kuliner
kaoscouple2015	Grosir Kaos Couple	pusple merah Couple 90rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/pqOiMsH4lV	ya	fashion
SiiNabil	Nabil Hafidz 2015	gue manusia bukan barang diskon! jadi gausah milih2!	tidak	
indosatdompetku	Indosat Dompetku	Gunakan fitur bayar pakai QR Code di daftar merchant berikut https://t.co/7UUiykMdLf. Dompetku #BanyakBenerBisanya	tidak	
RumahCoupleID	Grosir Baju Couple	mahasiswa Couple 85rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/Es1ehcEpKW	ya	fashion
katalogpromosi	katalogpromosi	"https://t.co/QEyS7s6hmA Promo Diskon Hotel 15%, Tiket Pesawat Rp.50.000 dan Tiket Kereta Api Rp.20.000 dgn CC ANZ https://t.co/WhCqBkzPU3"	ya	wisata
grabdriver81	Carlitos Tevez	"Rs. Marinir - Rempoa 17rb diskon 10 rb. Untung dpt ibu2 nan baik hati. Dibayar normal, alhamdulillah #grabbike"	tidak	
kickchickcloth	KICKCHICK CLOTH	BUCKET HAT from @kickchickcloth Diskon 30%!!! Buruan yaa koleksi bucket hat ayam kecee iniðŸ˜ðŸ˜ Orderâ¬‡ Wa :... https://t.co/JYL6vRYetQ	ya	kuliner
noediyan	Pengamat Ojek Online	"Selalu diskon... untuk GRABDISKON, ingat... bukan jam pulang kerja ya ;) https://t.co/sXn35D7tMP"	tidak	
indosatdompetku	Indosat Dompetku	"Dompetku diskon 30% di banyak merchants dengan fitur Bayar pakai QR, lho! Mau tahu caranya? https://t.co/To9dPA2u9o"	tidak	
SopDurenLodaya	Sop Durian Lodaya	Merapat guyss!!! #DISKON 50% di #CabangDipatiukur Bandung... https://t.co/UC2XsqfXj9	ya	lain-lain
LVly01z	( â€¢à¥¢â—¡-à¥¢)-â™¡lovelya26â¤	Ntn melon award di youtube... ga sereget dulu hehehe... skrg lebih gereget kl dgr PAMPERS DISKON!!!	tidak	
BajuCouple2015	Couple Jogja Lengkap	Pika Couple 85rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/47KTH9dThw	ya	fashion
SCOOPToday	SCOOP Newsstand	"Hello SCOOPers. Siap-siap yah, besok SCOOP mau kasih diskon setengah harga untuk berlangganan majalah lifestyle selama setahun âœ¨"	ya	otomotif
JackNicklaus_ID	Jack Nicklaus ID	Nikmati diskon up tp 50% + 10% untuk setiap pengguna LINE Jack Nicklaus @pestadiskoncom @infodiskonjkt @twitNsave https://t.co/163WLaEo6l	ya	lain-lain
pontianakpost	Pontianak News	PDAM Diskon 50% https://t.co/nYQ3kL46YG https://t.co/Ne9P4Jk11b	ya	lain-lain
BETAHOLIDAY	Tiket & Hotel	Grand Inna Kuta #Bali 26 Nov =900.000 #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastvâ€¦ https://t.co/Qu52jFyu3O	ya	wisata
bagikoru314	io.sã€ =â—ˆï¸¿â—ˆ= ã€‘	@Toni_tbp harga normal 600rb ton cek hitengaming aja lg diskon 40% di https://t.co/UzVx42r4yR harganya sekitaran 460rb	ya	fashion
SobatDewi88	Dewi	Diskon 50 Persen Nih Setiap Pembelian Kaus Lee Cooper di Matahari Solo Square https://t.co/HOXNpXKm1V https://t.co/v4RaruUPpF	ya	fashion
TokoGunungAgung	Gunung Agung	Ayo ke Gunung Agung! Karena ada Promo Clearance Sale yang memberikan kamu diskon hingga 70% Promo ini berlaku di seâ€¦ https://t.co/T8uA5BLt4v	ya	buku
Farizalfarizi_2	Fariz alfarizii	RT @alfacartID: Hari Senin Waktu Belanja Pakai @KartuKreditBCA Dapat DISKON 15% Ketik Kode Voucher BCACART15 .Check >> https://t.co/X0shfZ7â€¦	ya	lain-lain
mobilinanews	Mobilinanews	Diskon Mobil @ToyotaID Sampai Rp85 Juta di BURTOK 2016 https://t.co/LlVYPfHm4T	ya	otomotif
choisenghyun_	top	@Julietzrp di diskon 100% neng	tidak	
LippoPlazaKJ	LippoPlazaKramatJati	"Promo Clearance Sale diskon hingga 70%, mulai dari kebutuhan sekolah hingga alat tulis kantor hanya di Gunung... https://t.co/9zdEUFmC3P"	ya	buku
DINOMARKET	DINOMARKET.com	Macbook Diskon hingga Rp5 Juta. Cicilan hanya Rp700 Ribuan/bln. Klik https://t.co/2mLc6p3Wo6 #Dinomarket https://t.co/VgTiUZ3TcT	ya	elektronik
VIPPlazaID	VIP Plaza	"RT @kredivo: Belanja di @VIPPlazaID diskon 50rb. Khusus transaksi pertama dgn Kredivo, berlaku hingga 12 Des. Daftar kredivo di https://t.câ€¦"	ya	lain-lain
CoupleJogja	Baju Couple Lengkap	nike balanciaga merah Couple 145rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/5niMNoHPoj	ya	fashion
dbrk76	dbrk!â„¢	"Yuk, gabung jd Reseller DBRK, utk info/order silahkan hub. WA 085728512117 / BBM 57CEBA36. Dptkn diskon hingga 40%, syarat ketentuan brlaku."	ya	lain-lain
AdaDiskon	AdaDiskon.com	"Luggage Fair! Delsey, Pierre Cardin, Elle diskon hingga 50% https://t.co/X4a1dnNnmR"	ya	lain-lain
CoupleKemeja	kemeja couple	Wajirk LP navi Couple 120rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/uMZvIRsswC	ya	fashion
ipullisme	Bob Syaiful Anwar	@gzta diskon apa yanq?	tidak	
Aisah_Willy13	IG:@aisahwilly13_	"RT @DINOMARKET: Hasilkan foto indahmu dgn Olympus Camera. Sale Diskon Hingga 2,1 Juta. Klik https://t.co/u5V5JvQ6AY #Dinomarket https://t.câ€¦"	ya	elektronik
GoGoBli	GogoBli	"Produk Wardah Kosmetik terlengkap hanya di Gogobli, lagi diskon #promo #diskon #special https://t.co/cbj8JTQNK8"	ya	
avlknh	Hansibit	Besok udah ga diskon - dayat https://t.co/K9tpHZNlEL	tidak	
pecel2u	Denny Ardianto	"Secara psikologi, diskon hunter akan milih ini daripada yg angka bulat. Karena masih sering terbukti, beli kt4 lainâ€¦ https://t.co/IqbXFY2gO1"	tidak	
dyna_Indonesia	dyna Indonesia	Msh ada Promo #Diskon Lazada loh utk produk Dyna sprti di bawah ini.Yuk buruan order di sini https://t.co/nbm3CnbRCE https://t.co/aYFNwv7CCh	ya	fashion
