username	name	status	kategori
TCASH_ID	Telkomsel TCASH	Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusvkuy8AT	kuliner
chamidiyah	chusnul chamidiyah	Hay hay hay.... Diskon GG hari terakhir yaaa Kapan lagi coba dapet diskon 20% dr GG tanpa minimal order???... https://t.co/1sBfnRhRWI	lain-lain
Nrossalina	Novianti Rossalina	Promosi paling gampang adalah dg diskon harga @indonesia_next #indonesianext2016 #bikinindonesiakeren	
zulfarhakim90	Zulfar Hakim	"Promo terbaru November 2016 = =. Kredit Motor Yamaha Vixion KS Advance Diskon 2 Juta, atau bayar DP mulai"	otomotif
Jennierapgrl	Jennieê¹€â€¢FOLLBACK	@rlhaneulina_ diskon brp persen buat bln ini?? /?	
amelliaaptri	ameliaptr.	"RT @Bellanahs: Coba aja, mana ada cewek yang bisa sebentar kalo belanja. Apalagi ada diskon."	
NarutoFamily2	Naruto Family	"#NewsMakassar FOTO: Promo November, Rockpot MaRI Beri Diskon Hingga 70 Persen https://t.co/lca9eAo3OI #Assadiqulhaq"	lain-lain
CitilinkTicket	Citilink Agent	"Travel Fair On-line Dimulai, Diskon Hingga 70 Persen - Tempo https://t.co/4N3Anecf8Y #travel"	wisata
luarkampung	pemburu	@penerbitkpg diskon khusus pelajar dong	
katalogpromosi	katalogpromosi	GARUDA INDONESIA Promo Diskon hingga 25% + Cicilan 0% selama 3 bulan dengan KARTU KREDIT HSBC https://t.co/yRVnG2AM3G	travel
toserbayogyaYBS	YOGYA BOJONGSOANG	Jangan ngaku pencinta apel dan pear kalo belum ngeborong promo seru yang satu ini ðŸ™Œ diskon 15%â€¦ https://t.co/MXWYDfHZtO	kuliner
millymillea	Millea	Ditambah diskon 21% semua item di @lemarisimilly. Hanya hari ini. 21 November. Dalam rangka apa? Pengin aja â˜º #21november #november21	lain-lain
VerraViandra	Verra Viandra	Diskon 50 Persen Paket Servis Lengkap Untuk Guru https://t.co/HNCEITrlq5 https://t.co/WBc6cYDKLH	lain-lain
kmjjisoo	J. S O O	@rlhaneulina_ aku mah beda kalo ada yg diskon malah biasa aja :(	
daviflorist	Bunga Davi	Dapatkan harga spesial + diskon 5% untuk setiap order bunga papan Congrate atau Condolence di #bungadaviflorist Info:https://t.co/Z0CYjafH8I	lain-lain
Giladiskon	Giladiskon Indonesia	"SUPER SaleÂ @MatahariMallCom Â Â Diskon hingga 82%,Info--> Â https://t.co/s0hoWp80XG"	lain-lain
katalogpromosi	katalogpromosi	https://t.co/O5wxNuBkTu Promo Tambahan Diskon Hotel 10% dengan Kartu Kredit BCA https://t.co/sBsnauFvbv	wisata
tineyo11	ðŸ™ Yulia Zeekwa ðŸ™	RT @waxhaus: Dapatkan diskon 10% untuk kamu pemilik member Tunas Group. https://t.co/x3PWi7Bv3M #WaxWithBenefit https://t.co/BSERBBhK7j	lain-lain
1124whitefaith	Lydia Wang ì™•í˜„ìƒ	@indotix ada number seatnya kak? Blm ada promo diskon tiket ya? Hohoho...	
binjaisupermall	Binjai Supermall	Diskon 30% semua produk di @LesFemmesBags Binjai Supermall tanggal 25 November 2016 pukul 18.00 - 20.00 WIB https://t.co/Nw37U1Gi4A	fashion
hendryjade	hendryjade	Pengen ke Snowbay dapat diskon 40% pakai Kartu Debit BNI. #BNITaplus https://t.co/KyeVKbfaUn	wisata
kelincisawah	Petani Awan	"eehhhh udah mau desember lagi, mau pasang baliho ah, fotonya saya, dibawahnya pake tulisan ""DISKON AKHIR TAHUN"", pasang di pintu tol pasteur"	
seventh_joe	Seventh JOE	#MALLQITA.co #onlineshopping #onlinestore #hemat #diskon https://t.co/VoTLB6kTHv	lain-lain
Hotel2Murah	Hotel Murah	yuk #liburan ke #bali #hotel lagi #diskon besar2an cek harga disini https://t.co/KVSEeOmn3G #HotelMurah https://t.co/Zuj3Mav22h	wisata
LOGOJEANS	LOGO Jeans	Bosan pakai Jeans terus? Coba pakai Cullote yuk! Skrg lagi DISKON 20% loh! Cek koleksinya disini >>â€¦ https://t.co/EvMKo1hvib	fashion
katalogpromosi	katalogpromosi	"AirAsiaGo Promo Tambahan Diskon Rp.175.000,- dengan Kartu Kredit BCA https://t.co/driDaDiKqe"	wisata
IndonesiaGaruda	Garuda Indonesia	@anthontrip Saat ini sudah tersedia promo diskon 25% utk redemption ticket dgn pemesanan s.d 3 Desember 2016. Tks - Harry	wisata
GudangJaya	Gudangjaya.com	"Toko Ac Elektronik Depok,Diskon Setiap Hari,Jual Ac,Kulkas,Mesin cuci,Led tv Terbaru,Bergaransi Resmi Pabrik. https://t.co/g0jezG5SSY"	elektronik
ayowangi_parfum	PARFUMFM	"parfum merk Emporio Armani City Glam Him - Lacoste Challenge sedang diskon 100ml 4 jt,di fm hanya 250.000 pin:225019A4 @banteniklan"	kecantikan
gheasafferina	ghea safferina	"Siap-siap banjir diskon, yeaaay! https://t.co/dIiN00AAoV juga bakal berpartisipasi loh :) https://t.co/7LTjREmIdG"	
nikitayap	nikita yaphet	@eleveniacare bbrp bln lalu saya beli voucher mokado diskon soursally.. tp waktu mau di pake ket dr soursally voucer ga bs di pake gmn ya?	
NnoerRch	NnoerRch	"RT @InfoSuperIndo: Menyambut Hari Ikan Nasional, yuk dptkan diskon 20% untuk aneka ikan super segar di Super Indo. Bisa langsung dibakar/ dâ€¦"	kuliner
arfandywinardy	Arfandy Winardy	ðŸ¤—Diskon Hotel Santika & Amaris Group ðŸ˜ Booking Lebih Hemat di CK Travel -Amaris Hotelâ€¦ https://t.co/DgrzN7DuM5	wisata
adhyt_is_adhyt	adhyt	@TransStudioBdng Min.. Harga tiket anak-anak weekdays brp? Berlaku jg gak diskon 50%	
cippy_85	cippy cip	diskon lg.. https://t.co/OrtD45V4j1	
apinxkjej_	jiay	"@blqckhole 14, 15, 34 Tuh di diskon"	
katalogpromosi	katalogpromosi	KFC Diskon Rp 10.000 untuk Paket Hot and Cheesy Chicken atau Super Besar dengan TELKOMSEL TCASH https://t.co/WTwO09oH32	kuliner
Hilman	Tirai Bambu	"RT @pecel2u: Secara psikologi, diskon hunter akan milih ini daripada yg angka bulat. Karena masih sering terbukti, beli kt4 lain hanya bedaâ€¦"	
mutia_ratna	Mutia Ratna	"uhuy produk baru di bulan November iniiii diskon 30% yuuk cc : Mutia Ratna, Mutia Ratna II https://t.co/QpsIi7stcS"	lain-lain
khanbinIkon	Hanbin	smartfrencare: KhanzaAulia11 Untuk penawaran berupa diskon khusus bagi Pelanggan kami yang masih menggunakan perangkat CDMA berbeda-beda (1â€¦	lain-lain
YogrtID	Yogrt	masih ada sedikit lagi ! Voucher 50% diskon untuk belanja tanpa minimum pembelian. Download Yogrt diâ€¦ https://t.co/UH36G20fSA	lain-lain
Zalazora	Rizal	@RobotPuisi untuk apa? banjir diskon dimana-mana	
MalRatuIndah	Mal Ratu Indah	LES FEMMES FLASH SALE!! Dapatkan diskon 30% untuk semua produk Les Femmes favorit kamu! Promoâ€¦ https://t.co/zfw1TQB4ie	fashion
Giladiskon	Giladiskon Indonesia	"Super Nike Clearance SALE, Diskon hingga 70%,Info-->Â https://t.co/vJxjIJ4pHf"	fashion
katalogpromosi	katalogpromosi	BAKMI GM Diskon 20% dengan TELKOMSEL TCASH berlaku sd. 31 Desember 2016 https://t.co/2KUiIdLobG	kuliner
katalogpromosi	katalogpromosi	"Cold Stone Creamery Promo Harga Spesial Rp 1,- untuk 1 cup ice cream* atau diskon 40% dengan Kartu Debit BNI https://t.co/uwLcjUFLSY"	kuliner
waxhaus	waxhaus	Dapatkan diskon 10% untuk kamu pemilik member Tunas Group. https://t.co/x3PWi7Bv3M #WaxWithBenefit https://t.co/BSERBBhK7j	lain-lain
arenatiket	arenatiket	Diskon tanpa perlu menggunakan kode promo dan tanpa syarat. Dapatkan harga tiket @Citilink dan @IndonesiaGaruda denâ€¦ https://t.co/mtdqYUy8Zs	wisata
Idcloudhostcom	IDCloudHost	Diskon 30% pembelian Hosting di IDCloudHost Stock Terbatas - Promo Hingga 30 November 2016 https://t.co/0DWHCm5rIR https://t.co/P4yUrc842V	lain-lain
orami_id	Orami Indonesia	"Anda pemegang kartu kredit ANZ? Nikmati belanja dengan diskon hingga 90%+ 20%* di ORAMI! *Info lengkap, kunjungiâ€¦ https://t.co/dPZysZaqJY"	lain-lain
tiket	Tiket.com	Liburan sama satu geng bisa lebih hemat! Diskon menginap Rp. 100.000/Malam/Kamar bikin liburan seru diâ€¦ https://t.co/rG85yeK0Z5	wisata
BeesstYD1921	Yudi febrian	@GontaGantiHaPe ada diskon apa a diblibli supaya bisa kurang lagi a?	
kupontripcom	Kupon Trip	Promo Kartu Kredit Mandiri Panorama Tours Diskon Rp 200K Hotel dan TiketÂ Pesawat https://t.co/PuxK3tJTly https://t.co/HQkix9QhdL	wisata
Cin_518	Cin518	"RT @BNI: Gemar berbelanja? Jangan lewatkan diskon 20% di Shafira dari BNI. Selengkapnya, cek https://t.co/XiKDprLh1g."	lain-lain
katalogpromosi	katalogpromosi	NIKE Diskon hingga 15% dengan KARTU KREDIT BNI https://t.co/Cq0h98BXKk	fashion
katalogpromosi	katalogpromosi	https://t.co/qxNJxEXEnB CITI TUESDAY DEALS! Dapatkan Tambahan Diskon 15% dengan Kartu Kredit Citi https://t.co/o4KFeZnQIU	lain-lain
sushi_ya	sushi-ya	"Sushi Gangs, tinggal 9 hari lagi loh promo Student ID Discount! Jangan lupa ya siapkan student ID kamu dan dapetin diskon 15% :D"	lain-lain
diskonevoucher	DISKON - EVoucher	[ME TIME] Manjakan diri dengan nyalon HEMAT di Eva Bun Beauty & Salon https://t.co/t2lKleRWrb https://t.co/BsyPISOQ0n	kecantikan
katalogpromosi	katalogpromosi	HOP HOP Bubble Drink Diskon hingga 20% dengan Kartu Kredit dan FLAZZ BCA https://t.co/KKl1G0dfLl	kuliner
katalogpromosi	katalogpromosi	https://t.co/ZhG3n6C4eg Promo Groovy Monday! Diskon Up To Rp 300.000 Setiap Hari Senin https://t.co/vpRKAo5r1Y	laIn-lain
BETAHOLIDAY	Tiket & Hotel	Lebih MURAH 363.000 dari Traveloka #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv #batikair https://t.co/R3p5DuoJrd	wisata
karinadnlstr	Karin	@IndonesiaGaruda pada saat pemilihan jadwal harga yg tertera sudah termasuk diskon atau belum?	
misslizz183	lisa kusumawati	Dipilih...dipilih...lagi diskon Mak...! https://t.co/RwgdMKoP78	
karinadnlstr	Karin	"@IndonesiaGaruda halo garuda, mau tanya promo ini https://t.co/kj1TQBTSoM potongan diskon dan cashbacknya diberikan kapan ya?"	
baju_kapel	Toko Baju Kapel	Barcelona Couple 145rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/VTFaA9HKZ5	fashion
riizqek	Rizqi P. Saputra	"Itu yang jual mahal, apa gak kepikiran buat ngadain diskon gitu ? *antri ngarep dewe*"	
aksesorisbalap	aksesorisbalap.com	"TOPI ALPINESTAR, FOX, KTM DLL. DISKON 10% KHUSUS HARI INI. BATAS WAKTU JAM 12 MALAM. https://t.co/Qe6lo73lp9"	fashion
PriceArea	PriceArea.com	RT @PriceArea: DISKON 44% Jimmy Choo Eau de Parfum bikin hari mu makin sempurna Cek parfum lainnya di @MLBB_ID https://t.co/S6hM9d5YpW httpâ€¦	kecantikan
masiponk	masiponk	Wah tv kabel kompetitor sdh masuk ke perumahan sy murah lagi... Siap2 pindah operator nih klo yg lama gak ngasih diskon	
mustang88fm	Mustang 88.0 Jakarta	"Sekarang, belanja koleksi Ramayana bisa dapet diskon 20% loh!!, hanya di @tokopedia, yuk cek ceritanya di https://t.co/h7guqD2hxi"	lain-lain
syahwillianna24	NO NAME	"Tah bud madeup sateh ,beli buru mumpug diskon @budif1rmansyah_ @Bud1firmansyah https://t.co/E4z0FRXKNO"	
kupontripcom	Kupon Trip	Kode Promo Red Doorz Hotel PegiPegi DiskonÂ 15% https://t.co/xN6Cp3njPO https://t.co/AjxWDfv4Lr	wisata
Razaqicoll	Galeri Razaqi	Tas Mango ori Harga diskon abis lebih murah dari counter Yuk buruan yg mau order inbox ya Ukuran ada di gambar	fashion
efviel	efviel	Uang bukan segalanya. Masih ada Mastercard dan Visa. Belanja online #murah #diskon aman dan terpercaya check i ##diskon #ollshop #shoping	
Salima_Store	Salima Store	"MC Overed Diskon! Kode : BDE 025 Bahan : Chery+Della Ukuran : S,M,L,XL Warna : Coklat dan Orange Harga Normal :... https://t.co/nq59msOEx1"	fashion
Giladiskon	Giladiskon Indonesia	"Super Promo @CoffeeBeanIndo Diskon 50%,Info--> https://t.co/KrIin7S91D"	kuliner
BajuCoupleKita	Fashion Couple Baru	Dress Cakram Couple 105rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/rykpyYFmWz	fashion
couplecoupleku	Pusat Jaket Couple	Never let lp Couple 105rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/ePuxRkRiuT	fashion
resepkuelezat	Resep Kue Lezat	ðŸ’¢ WOW DISKON BESAR DAN HEBOH ðŸ’¢ â— â— ðŸŽ‰ Hanya 95rb Bunda Bisa Dapetin 1 Set FOOD CONTAINER ISI 14pcs ðŸŽ‰ Pusing liat... https://t.co/PIuqptwXOQ	rumah tangga
sendyekr	Sendy	RT @sendyekr: Lagi cari makeup import ori & tas yg murah banget? Yuk cek ig kita https://t.co/6NS1L4lBU9 ðŸ˜Š kita lagi ada diskon looh! Ayo dâ€¦	fashion
sintaakusuma	â	Sedihnya kehabisan tiket coldplay ga ada apa2nya dibandingin sama sedihnya ibu2 yg kehabisan promo Pampers yg lg diskon dr 120 jadi 80rbðŸ’”	
misteraladinID	Mister Aladin	Get more travel privileges hanya dgn kartu kredit Citibank kamu! Dapetin diskon buat SEMUA hotel up to Rp200rb. CEKâ€¦ https://t.co/kYQ4Flm9RY	wisata
zupparella	Zupparella	"Hae zupper. Kita masih ada promo #CereMonday nih, Diskon 20% buat kalian all variant zuppa soup sama pastanya lho."	kuliner
kaoscouple2015	Grosir Kaos Couple	pusple merah Couple 90rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/pqOiMsH4lV	fashion
SiiNabil	Nabil Hafidz 2015	gue manusia bukan barang diskon! jadi gausah milih2!	
indosatdompetku	Indosat Dompetku	Gunakan fitur bayar pakai QR Code di daftar merchant berikut https://t.co/7UUiykMdLf. Dompetku #BanyakBenerBisanya	
RumahCoupleID	Grosir Baju Couple	mahasiswa Couple 85rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/Es1ehcEpKW	fashion
katalogpromosi	katalogpromosi	"https://t.co/QEyS7s6hmA Promo Diskon Hotel 15%, Tiket Pesawat Rp.50.000 dan Tiket Kereta Api Rp.20.000 dgn CC ANZ https://t.co/WhCqBkzPU3"	wisata
grabdriver81	Carlitos Tevez	"Rs. Marinir - Rempoa 17rb diskon 10 rb. Untung dpt ibu2 nan baik hati. Dibayar normal, alhamdulillah #grabbike"	
kickchickcloth	KICKCHICK CLOTH	BUCKET HAT from @kickchickcloth Diskon 30%!!! Buruan yaa koleksi bucket hat ayam kecee iniðŸ˜ðŸ˜ Orderâ¬‡ Wa :... https://t.co/JYL6vRYetQ	fashion
noediyan	Pengamat Ojek Online	"Selalu diskon... untuk GRABDISKON, ingat... bukan jam pulang kerja ya ;) https://t.co/sXn35D7tMP"	
indosatdompetku	Indosat Dompetku	"Dompetku diskon 30% di banyak merchants dengan fitur Bayar pakai QR, lho! Mau tahu caranya? https://t.co/To9dPA2u9o"	
SopDurenLodaya	Sop Durian Lodaya	Merapat guyss!!! #DISKON 50% di #CabangDipatiukur Bandung... https://t.co/UC2XsqfXj9	lain-lain
LVly01z	( â€¢à¥¢â—¡-à¥¢)-â™¡lovelya26â¤	Ntn melon award di youtube... ga sereget dulu hehehe... skrg lebih gereget kl dgr PAMPERS DISKON!!!	
BajuCouple2015	Couple Jogja Lengkap	Pika Couple 85rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/47KTH9dThw	fashion
SCOOPToday	SCOOP Newsstand	"Hello SCOOPers. Siap-siap yah, besok SCOOP mau kasih diskon setengah harga untuk berlangganan majalah lifestyle selama setahun âœ¨"	buku
JackNicklaus_ID	Jack Nicklaus ID	Nikmati diskon up tp 50% + 10% untuk setiap pengguna LINE Jack Nicklaus @pestadiskoncom @infodiskonjkt @twitNsave https://t.co/163WLaEo6l	lain-lain
pontianakpost	Pontianak News	PDAM Diskon 50% https://t.co/nYQ3kL46YG https://t.co/Ne9P4Jk11b	lain-lain
BETAHOLIDAY	Tiket & Hotel	Grand Inna Kuta #Bali 26 Nov =900.000 #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastvâ€¦ https://t.co/Qu52jFyu3O	wisata
bagikoru314	io.sã€ =â—ˆï¸¿â—ˆ= ã€‘	@Toni_tbp harga normal 600rb ton cek hitengaming aja lg diskon 40% di https://t.co/UzVx42r4yR harganya sekitaran 460rb	fashion
SobatDewi88	Dewi	Diskon 50 Persen Nih Setiap Pembelian Kaos Lee Cooper di Matahari Solo Square https://t.co/HOXNpXKm1V https://t.co/v4RaruUPpF	fashion
TokoGunungAgung	Gunung Agung	Ayo ke Gunung Agung Karena ada Promo Clearance Sale yang memberikan kamu diskon hingga 70% Promo ini berlaku di seâ€¦ https://t.co/T8uA5BLt4v	buku
Farizalfarizi_2	Fariz alfarizii	RT @alfacartID: Hari Senin Waktu Belanja Pakai @KartuKreditBCA Dapat DISKON 15% Ketik Kode Voucher BCACART15 .Check >> https://t.co/X0shfZ7â€¦	lain-lain
mobilinanews	Mobilinanews	Diskon Mobil @ToyotaID Sampai Rp85 Juta di BURTOK 2016 https://t.co/LlVYPfHm4T	otomotif
choisenghyun_	top	@Julietzrp di diskon 100% neng	
LippoPlazaKJ	LippoPlazaKramatJati	"Promo Clearance Sale diskon hingga 70%, mulai dari kebutuhan sekolah hingga alat tulis kantor hanya di Gunung... https://t.co/9zdEUFmC3P"	buku
DINOMARKET	DINOMARKET.com	Macbook Diskon hingga Rp5 Juta. Cicilan hanya Rp700 Ribuan/bln. Klik https://t.co/2mLc6p3Wo6 #Dinomarket https://t.co/VgTiUZ3TcT	elektronik
VIPPlazaID	VIP Plaza	"RT @kredivo: Belanja di @VIPPlazaID diskon 50rb. Khusus transaksi pertama dgn Kredivo, berlaku hingga 12 Des. Daftar kredivo di https://t.câ€¦"	lain-lain
CoupleJogja	Baju Couple Lengkap	nike balanciaga merah Couple 145rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/5niMNoHPoj	fashion
dbrk76	dbrk!â„¢	"Yuk, gabung jd Reseller DBRK, utk info/order silahkan hub. WA 085728512117 / BBM 57CEBA36. Dptkn diskon hingga 40%, syarat ketentuan brlaku."	lain-lain
AdaDiskon	AdaDiskon.com	"Luggage Fair! Delsey, Pierre Cardin, Elle diskon hingga 50% https://t.co/X4a1dnNnmR"	fashion
CoupleKemeja	kemeja couple	Wajirk LP navi Couple 120rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/uMZvIRsswC	fashion
ipullisme	Bob Syaiful Anwar	@gzta diskon apa yanq?	
Aisah_Willy13	IG:@aisahwilly13_	"RT @DINOMARKET: Hasilkan foto indahmu dgn Olympus Camera. Sale Diskon Hingga 2,1 Juta. Klik https://t.co/u5V5JvQ6AY #Dinomarket https://t.câ€¦"	elektronik
GoGoBli	GogoBli	"Produk Wardah Kosmetik terlengkap hanya di Gogobli, lagi diskon #promo #diskon #special https://t.co/cbj8JTQNK8"	
avlknh	Hansibit	Besok udah ga diskon - dayat https://t.co/K9tpHZNlEL	
pecel2u	Denny Ardianto	"Secara psikologi, diskon hunter akan milih ini daripada yg angka bulat. Karena masih sering terbukti, beli kt4 lainâ€¦ https://t.co/IqbXFY2gO1"	
dyna_Indonesia	dyna Indonesia	Msh ada Promo #Diskon Lazada loh utk produk Dyna sprti di bawah ini.Yuk buruan order di sini https://t.co/nbm3CnbRCE https://t.co/aYFNwv7CCh	lain-lain
BajuCouplePacar	Dress Couple	Rudolp lp merah Couple 120rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/vKspqde9m2	fashion
endang17dwi	ENDANG DWI LESTARI	"RT @AdaDiskon: Ladies, koleksi wanita Hush Puppies diskon hingga setengah harga! Serbuu https://t.co/gNM9Q3unsT"	fashion
telekqeulgi	kurimi$	@dubudidam AYO KAK CIRENG SNOWNYA IDR 20K AJA LG DISKON. HARGA ASLINYA 19.900 NIH https://t.co/DeNs5hhK9q	kuliner
iklanvaganza01	IklanVaganza	MAU JALAN-JALAN KE SEOUL? CARI DISKON HOTEL NYA DISINI - https://t.co/LZax1xlLDZ | 3MF	wisata
LPKII_BANDUNG	LPKII	Diskon 30% berlaku hingga akhir november 2016	lain-lain
HEROSupermarket	HERO Supermarket	RT @PermataFamily: Dapatkan diskon 20% setiap Senin - Kamis di @HEROSupermarket & @GiantIndo menggunakan PermataHeroCard. https://t.co/uYsyâ€¦	lain-lain
BajuPacaran	Kaos Couple Import	Baju Family Rock Coco 120rb SMS/WA:085723477888 #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/ARAGhIIpw7	fashion
MalMetropolitan	Mal Metropolitan Bks	Stay Fit Keep Active dengan @SHAGA_ID #MetMal Bekasi Lt. 1 dan nikmati #diskon hingga 70% untuk alat olahraga. https://t.co/8F0ALb2Ay3	lain-lain
